id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Isopentane;Isopentane0;Isopentane_set;water;water0;water_set;balance
0x7fb8412eef10;working fluid source;out1;preheater;in2;[];[];nan;False;False;243.72;kg / s;False;243.72;True;nan;nan;nan;False;11.3;bar;False;11.3;True;nan;nan;nan;False;28.323902779713347;kJ / kg;False;28.323902779713347;False;nan;nan;nan;False;39.69999999999993;C;False;39.69999999999993;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.40530099230157035;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7fb8412eee10;preheater;out2;working fluid sink;in1;[];[];nan;False;False;243.72;kg / s;False;243.72;False;nan;nan;nan;False;10.799999995600002;bar;False;10.799999995600002;False;nan;nan;nan;False;213.23908809476376;kJ / kg;False;213.23908809476376;False;nan;nan;nan;False;111.59999999999894;C;False;111.59999999999894;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.47586184701266465;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fb8412a0490;brine source;out1;preheater;in1;[];[];nan;False;False;210.6898043047444;kg / s;False;210.6898043047444;False;nan;nan;nan;False;9.9;bar;False;9.9;True;nan;nan;nan;False;503.9438527317151;kJ / kg;False;503.9438527317151;False;nan;nan;nan;False;119.89999999999804;C;False;119.89999999999804;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.22328691080013535;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7fb8412a0710;preheater;out1;brine sink;in1;[];[];nan;False;False;210.6898043047444;kg / s;False;210.6898043047444;False;nan;nan;nan;False;9.3999999999906;bar;False;9.3999999999906;False;nan;nan;nan;False;290.039202178251;kJ / kg;False;290.039202178251;False;nan;nan;nan;False;69.10000000000576;C;False;69.10000000000576;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.21528706776587322;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
