label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char;kA_char_set;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set
preheater;heat_exchanger;[];[];[];[];[];[];[];nan;False;False;-46144557.972303174;False;False;2609630.6583335567;False;False;17.682409510689112;False;False;8.992726533614245;False;False;30.70946052670871;False;False;0.949494;True;False;0.955752;True;False;1333.5991600497973;False;False;575.7878465333908;False;False;nan;False;0x7f7f5b1c5cd0;False;m;0x7f7f5b1c5d10;False;m;-125472.73552235494;False;132558.79653538164;False;7086.061013026701;False
internal heat exchanger;heat_exchanger;[];[];[];[];[];[];[];nan;False;False;-9335034.819048412;False;False;366115.7138652898;False;False;25.497498374197576;False;False;27.891523491513396;False;False;23.244548726345784;False;False;0.8490566030000002;True;False;0.9576271179999998;True;False;0.8872405572279389;False;False;635.9571859025641;False;False;nan;False;0x7f7f5b1c5d50;False;m;0x7f7f5b1c5d90;False;m;-23943.67470310902;False;30857.791105998414;False;6914.1164028893945;False
